,Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejong,Gyeonggi,Gangwon,Chungbuk,Chungnam,Jeonbuk,Jeonnam,Gyeongbuk,Gyeongnam,Jeju
2021.01,0.0310,0.0190,0.0230,0.0270,0.0210,0.0250,0.0220,0.0250,0.0260,0.0140,0.0190,0.0180,0.0160,0.0130,0.0140,0.0180,0.0080
2021.02,0.0300,0.0180,0.0220,0.0240,0.0190,0.0200,0.0210,0.0200,0.0250,0.0130,0.0170,0.0160,0.0130,0.0130,0.0130,0.0160,0.0090
2021.03,0.0320,0.0170,0.0180,0.0280,0.0160,0.0210,0.0200,0.0200,0.0250,0.0120,0.0160,0.0160,0.0130,0.0110,0.0120,0.0140,0.0090
2021.04,0.0220,0.0150,0.0130,0.0210,0.0130,0.0150,0.0180,0.0150,0.0180,0.0090,0.0130,0.0120,0.0110,0.0090,0.0100,0.0130,0.0080
2021.05,0.0190,0.0140,0.0120,0.0170,0.0090,0.0120,0.0170,0.0120,0.0150,0.0070,0.0110,0.0100,0.0080,0.0070,0.0090,0.0110,0.0080
2021.06,0.0180,0.0140,0.0100,0.0170,0.0090,0.0120,0.0160,0.0110,0.0140,0.0060,0.0100,0.0090,0.0080,0.0070,0.0080,0.0120,0.0070
2021.07,0.0160,0.0100,0.0090,0.0140,0.0070,0.0090,0.0130,0.0090,0.0120,0.0060,0.0080,0.0080,0.0060,0.0060,0.0070,0.0090,0.0050
2021.08,0.0150,0.0110,0.0100,0.0140,0.0080,0.0110,0.0130,0.0100,0.0120,0.0060,0.0090,0.0080,0.0070,0.0060,0.0070,0.0080,0.0050
2021.09,0.0140,0.0100,0.0100,0.0140,0.0090,0.0110,0.0110,0.0100,0.0110,0.0050,0.0090,0.0080,0.0070,0.0060,0.0070,0.0090,0.0060
2021.10,0.0220,0.0150,0.0160,0.0200,0.0130,0.0180,0.0150,0.0160,0.0180,0.0080,0.0130,0.0120,0.0110,0.0090,0.0100,0.0120,0.0070
2021.11,0.0310,0.0210,0.0240,0.0260,0.0210,0.0240,0.0210,0.0210,0.0260,0.0130,0.0180,0.0150,0.0140,0.0120,0.0140,0.0180,0.0090
2021.12,0.0310,0.0210,0.0250,0.0280,0.0210,0.0250,0.0210,0.0240,0.0270,0.0140,0.0190,0.0170,0.0150,0.0120,0.0140,0.0190,0.0090
2022.01,0.0320,0.0210,0.0250,0.0260,0.0200,0.0270,0.0220,0.0250,0.0290,0.0170,0.0210,0.0190,0.0160,0.0120,0.0150,0.0200,0.0080
2022.02,0.0260,0.0160,0.0180,0.0220,0.0170,0.0220,0.0180,0.0200,0.0230,0.0130,0.0170,0.0150,0.0130,0.0100,0.0110,0.0150,0.0080
2022.03,0.0260,0.0180,0.0180,0.0240,0.0160,0.0210,0.0190,0.0180,0.0220,0.0120,0.0150,0.0140,0.0120,0.0110,0.0120,0.0160,0.0090
2022.04,0.0200,0.0160,0.0130,0.0180,0.0130,0.0160,0.0180,0.0150,0.0170,0.0090,0.0120,0.0110,0.0100,0.0090,0.0090,0.0130,0.0080
2022.05,0.0150,0.0150,0.0110,0.0140,0.0110,0.0130,0.0170,0.0110,0.0130,0.0080,0.0100,0.0090,0.0080,0.0080,0.0080,0.0120,0.0070
2022.06,0.0130,0.0100,0.0080,0.0120,0.0070,0.0100,0.0130,0.0090,0.0100,0.0070,0.0080,0.0070,0.0060,0.0060,0.0070,0.0090,0.0060
2022.07,0.0140,0.0120,0.0080,0.0120,0.0060,0.0100,0.0140,0.0090,0.0100,0.0060,0.0070,0.0070,0.0060,0.0050,0.0070,0.0100,0.0050
2022.08,0.0130,0.0110,0.0090,0.0110,0.0070,0.0100,0.0130,0.0090,0.0100,0.0060,0.0070,0.0060,0.0050,0.0050,0.0070,0.0090,0.0050
2022.09,0.0160,0.0100,0.0100,0.0150,0.0110,0.0120,0.0120,0.0120,0.0130,0.0060,0.0090,0.0090,0.0070,0.0060,0.0070,0.0100,0.0060
2022.10,0.0200,0.0130,0.0140,0.0190,0.0140,0.0170,0.0140,0.0160,0.0180,0.0080,0.0120,0.0120,0.0100,0.0080,0.0090,0.0120,0.0060
2022.11,0.0280,0.0190,0.0250,0.0260,0.0210,0.0250,0.0200,0.0230,0.0250,0.0130,0.0180,0.0160,0.0140,0.0130,0.0140,0.0190,0.0080
2022.12,0.028,0.017,0.023,0.024,0.022,0.025,0.018,0.021,0.025,0.015,0.02,0.017,0.015,0.011,0.013,0.018,0.007
